ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,price,label
2020-05-06,11399.676821087054,11193.364803311108,11559.570230009904,11399.676821087054,11399.676821087054,-25.98641493274057,-25.98641493274057,-25.98641493274057,19.019696969956428,19.019696969956428,19.019696969956428,-45.006111902697,-45.006111902697,-45.006111902697,0.0,0.0,0.0,11373.690406154314,11450.0,Actual
2020-05-08,11402.771637668684,11195.760711227964,11556.69963725211,11402.771637668684,11402.771637668684,-34.097013457735116,-34.097013457735116,-34.097013457735116,0.28276570439605986,0.28276570439605986,0.28276570439605986,-34.37977916213118,-34.37977916213118,-34.37977916213118,0.0,0.0,0.0,11368.67462421095,11450.0,Actual
2020-05-11,11407.41386254113,11238.854622876004,11576.22722859669,11407.41386254113,11407.41386254113,0.28730236690637506,0.28730236690637506,0.28730236690637506,14.31824421533836,14.31824421533836,14.31824421533836,-14.030941848431985,-14.030941848431985,-14.030941848431985,0.0,0.0,0.0,11407.701164908038,11450.0,Actual
2020-05-12,11408.961270831946,11240.241377617951,11580.72872138065,11408.961270831946,11408.961270831946,3.85386196913361,3.85386196913361,3.85386196913361,10.540632141105068,10.540632141105068,10.540632141105068,-6.686770171971458,-6.686770171971458,-6.686770171971458,0.0,0.0,0.0,11412.815132801079,11400.0,Actual
2020-05-13,11410.50867912276,11261.699243375615,11610.06717245089,11410.50867912276,11410.50867912276,19.699677614896785,19.699677614896785,19.699677614896785,19.01969696993623,19.01969696993623,19.01969696993623,0.6799806449605518,0.6799806449605518,0.6799806449605518,0.0,0.0,0.0,11430.208356737658,11400.0,Actual
2020-05-14,11412.056087413575,11265.454277183115,11627.560152884384,11412.056087413575,11412.056087413575,24.89854076243919,24.89854076243919,24.89854076243919,16.97780315000889,16.97780315000889,16.97780315000889,7.920737612430301,7.920737612430301,7.920737612430301,0.0,0.0,0.0,11436.954628176014,11400.0,Actual
2020-05-15,11413.60349570439,11248.657495701065,11620.069972608044,11413.60349570439,11413.60349570439,15.177793562805995,15.177793562805995,15.177793562805995,0.28276570435941417,0.28276570435941417,0.28276570435941417,14.89502785844658,14.89502785844658,14.89502785844658,0.0,0.0,0.0,11428.781289267195,11400.0,Actual
2020-05-18,11418.245720576835,11286.801425086724,11641.44363083244,11418.245720576835,11418.245720576835,47.304870202548344,47.304870202548344,47.304870202548344,14.318244215266242,14.318244215266242,14.318244215266242,32.98662598728211,32.98662598728211,32.98662598728211,0.0,0.0,0.0,11465.550590779383,11600.0,Actual
2020-05-19,11419.79312886765,11304.910398811453,11646.627253814995,11419.79312886765,11419.79312886765,48.27466919844898,48.27466919844898,48.27466919844898,10.540632141093761,10.540632141093761,10.540632141093761,37.73403705735522,37.73403705735522,37.73403705735522,0.0,0.0,0.0,11468.067798066098,11550.0,Actual
2020-05-20,11421.340537158467,11316.171042515936,11660.174634855744,11421.340537158467,11421.340537158467,60.731010382398885,60.731010382398885,60.731010382398885,19.019696969932752,19.019696969932752,19.019696969932752,41.71131341246614,41.71131341246614,41.71131341246614,0.0,0.0,0.0,11482.071547540865,11450.0,Actual
2020-05-22,11424.435353740097,11295.196941769582,11638.818946092051,11424.435353740097,11424.435353740097,47.45552374681504,47.45552374681504,47.45552374681504,0.2827657043227631,0.2827657043227631,0.2827657043227631,47.17275804249228,47.17275804249228,47.17275804249228,0.0,0.0,0.0,11471.890877486912,11450.0,Actual
2020-05-26,11430.624986903356,11306.265555913777,11659.013902843877,11430.624986903356,11430.624986903356,58.41316393754154,58.41316393754154,58.41316393754154,10.54063214109296,10.54063214109296,10.54063214109296,47.872531796448584,47.872531796448584,47.872531796448584,0.0,0.0,0.0,11489.038150840897,11800.0,Actual
2020-05-27,11432.17239547439,11323.5798381598,11677.505986937726,11432.17239547439,11432.17239547439,65.08713216926776,65.08713216926776,65.08713216926776,19.019696969929274,19.019696969929274,19.019696969929274,46.06743519933848,46.06743519933848,46.06743519933848,0.0,0.0,0.0,11497.259527643659,11800.0,Actual
2020-05-28,11433.719804045422,11317.054602424389,11665.60971693229,11433.719804045422,11433.719804045422,60.56054303318313,60.56054303318313,60.56054303318313,16.97780314998975,16.97780314998975,16.97780314998975,43.58273988319338,43.58273988319338,43.58273988319338,0.0,0.0,0.0,11494.280347078606,11800.0,Actual
2020-05-29,11435.267212616456,11301.601585667868,11666.968029202977,11435.267212616456,11435.267212616456,40.77909156753265,40.77909156753265,40.77909156753265,0.28276570443107985,0.28276570443107985,0.28276570443107985,40.496325863101575,40.496325863101575,40.496325863101575,0.0,0.0,0.0,11476.046304183988,11800.0,Actual
2020-06-02,11441.456846900588,11306.890595099489,11643.995547800097,11441.456846900588,11441.456846900588,34.51010785668991,34.51010785668991,34.51010785668991,10.540632141092157,10.540632141092157,10.540632141092157,23.969475715597756,23.969475715597756,23.969475715597756,0.0,0.0,0.0,11475.966954757278,11450.0,Actual
2020-06-03,11443.004255471622,11306.332330311494,11652.47984202606,11443.004255471622,11443.004255471622,38.309991122037005,38.309991122037005,38.309991122037005,19.019696969954417,19.019696969954417,19.019696969954417,19.29029415208259,19.29029415208259,19.29029415208259,0.0,0.0,0.0,11481.31424659366,11450.0,Actual
2020-06-04,11444.551664042654,11314.711204835154,11662.044803823113,11444.551664042654,11444.551664042654,31.572290149639695,31.572290149639695,31.572290149639695,16.977803150039236,16.977803150039236,16.977803150039236,14.594486999600457,14.594486999600457,14.594486999600457,0.0,0.0,0.0,11476.123954192293,11450.0,Actual
2020-06-05,11446.099072613688,11283.466826914633,11627.390079295357,11446.099072613688,11446.099072613688,10.261749501915059,10.261749501915059,10.261749501915059,0.28276570443979704,0.28276570443979704,0.28276570443979704,9.978983797475262,9.978983797475262,9.978983797475262,0.0,0.0,0.0,11456.360822115603,11450.0,Actual
